bet_date,system_name,matchup,away_team,home_team,pick_team,suggested_pick,confidence,edge_score,status,result_note,logged_at,resolved_at
2026-04-24,Trinity Starter Blend,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,83.2,65.21,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Volatility Fade,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,82.4,62.45,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Volatility Fade,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,63.1,43.09,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Volatility Fade,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,59.2,39.19,open,,2026-04-24 15:22:53,
2026-04-24,Volatility Fade,Detroit Tigers @ Cincinnati Reds,Detroit Tigers,Cincinnati Reds,Detroit Tigers,F5 Detroit Tigers,55.6,35.59,win,F5 score Detroit Tigers 5 - Cincinnati Reds 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Quality Anchor,Boston Red Sox @ Baltimore Orioles,Boston Red Sox,Baltimore Orioles,Baltimore Orioles,F5 Baltimore Orioles,100.0,133.98,win,F5 score Boston Red Sox 2 - Baltimore Orioles 9,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Quality Anchor,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,97.3,79.26,open,,2026-04-24 15:22:53,
2026-04-24,Quality Anchor,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,76.2,58.2,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Tempo Control,Boston Red Sox @ Baltimore Orioles,Boston Red Sox,Baltimore Orioles,Baltimore Orioles,F5 Baltimore Orioles,100.0,101.09,win,F5 score Boston Red Sox 2 - Baltimore Orioles 9,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Tempo Control,Washington Nationals @ Chicago White Sox,Washington Nationals,Chicago White Sox,Chicago White Sox,F5 Chicago White Sox,91.6,71.57,loss,F5 score Washington Nationals 3 - Chicago White Sox 1,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Tempo Control,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,79.3,59.33,open,,2026-04-24 15:22:54,
2026-04-24,Tempo Control,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,79.0,58.99,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Tempo Control,Detroit Tigers @ Cincinnati Reds,Detroit Tigers,Cincinnati Reds,Detroit Tigers,F5 Detroit Tigers,76.7,56.68,win,F5 score Detroit Tigers 5 - Cincinnati Reds 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Tempo Control,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,65.1,45.14,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Tempo Control,Philadelphia Phillies @ Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,F5 Atlanta Braves,41.7,21.65,loss,F5 score Philadelphia Phillies 3 - Atlanta Braves 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Contact Suppression,Colorado Rockies @ New York Mets,Colorado Rockies,New York Mets,New York Mets,F5 New York Mets,100.0,111.18,push,F5 score Colorado Rockies 1 - New York Mets 1,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Contact Suppression,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,92.5,74.54,open,,2026-04-24 15:22:54,
2026-04-24,Contact Suppression,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,90.6,72.59,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Contact Suppression,Seattle Mariners @ St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals,Seattle Mariners,F5 Seattle Mariners,71.2,53.2,push,F5 score Seattle Mariners 2 - St. Louis Cardinals 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Contact Suppression,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,65.0,46.98,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Mismatch Momentum,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,100.0,90.77,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Mismatch Momentum,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,91.2,71.16,open,,2026-04-24 15:22:54,
2026-04-24,Mismatch Momentum,Detroit Tigers @ Cincinnati Reds,Detroit Tigers,Cincinnati Reds,Detroit Tigers,F5 Detroit Tigers,83.2,63.23,win,F5 score Detroit Tigers 5 - Cincinnati Reds 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Mismatch Momentum,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,80.6,60.61,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:54,2026-04-24 22:16:11
2026-04-24,Iron WHIP Clamp,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,100.0,106.75,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 20:40:23,2026-04-24 22:16:11
2026-04-24,Volatility Fade,Washington Nationals @ Chicago White Sox,Washington Nationals,Chicago White Sox,Chicago White Sox,F5 Chicago White Sox,49.9,29.94,loss,F5 score Washington Nationals 3 - Chicago White Sox 1,2026-04-24 20:40:23,2026-04-24 22:16:11
2026-04-24,Quality Anchor,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,100.0,143.64,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 20:40:23,2026-04-24 22:16:11
2026-04-24,Tempo Control,Colorado Rockies @ New York Mets,Colorado Rockies,New York Mets,New York Mets,F5 New York Mets,94.9,74.87,push,F5 score Colorado Rockies 1 - New York Mets 1,2026-04-24 20:40:23,2026-04-24 22:16:11
2026-04-24,Mismatch Momentum,Washington Nationals @ Chicago White Sox,Washington Nationals,Chicago White Sox,Chicago White Sox,F5 Chicago White Sox,54.0,33.97,loss,F5 score Washington Nationals 3 - Chicago White Sox 1,2026-04-24 20:40:23,2026-04-24 22:16:11
2026-04-24,Volatility Fade,Philadelphia Phillies @ Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,F5 Atlanta Braves,47.8,27.81,loss,F5 score Philadelphia Phillies 3 - Atlanta Braves 2,2026-04-24 21:11:37,2026-04-24 22:16:11
2026-04-24,Trinity Starter Blend,Seattle Mariners @ St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals,Seattle Mariners,F5 Seattle Mariners,74.2,56.2,push,F5 score Seattle Mariners 2 - St. Louis Cardinals 2,2026-04-24 22:13:57,2026-04-24 22:16:11
2026-04-24,Quality Anchor,Seattle Mariners @ St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals,Seattle Mariners,F5 Seattle Mariners,73.9,55.93,push,F5 score Seattle Mariners 2 - St. Louis Cardinals 2,2026-04-24 22:13:57,2026-04-24 22:16:11
